"Port","Serial","Year","Lake","Vessel","Beg_Depth","Op_Date","Sample_Type","Target","Time","Beg_Lat","End_Lat","End_Long","Beg_Long","Target_Name"
216,11523,2019,2,17,1.5,"9/16/2019",1,224,1935,43.8083333333333,43.8016666666667,-86.4333333333333,-86.4333333333333,"MDNR Fall bottom trawl"
216,11524,2019,2,17,2.4,"9/16/2019",1,224,1954,43.8,43.795,-86.4366666666667,-86.4366666666667,"MDNR Fall bottom trawl"
216,11527,2019,2,17,1.5,"9/16/2019",1,224,2043,43.7733333333333,43.7683333333333,-86.4483333333333,-86.4483333333333,"MDNR Fall bottom trawl"
216,11528,2019,2,17,3,"9/16/2019",1,224,2100,43.7666666666667,43.7616666666667,-86.455,-86.455,"MDNR Fall bottom trawl"
216,11529,2019,2,17,4.9,"9/16/2019",1,224,2119,43.7616666666667,43.7566666666667,-86.46,-86.46,"MDNR Fall bottom trawl"
216,11530,2019,2,17,1.5,"9/16/2019",1,224,2212,43.8083333333333,43.8016666666667,-86.435,-86.435,"MDNR Fall bottom trawl"
216,11531,2019,2,17,3.7,"9/16/2019",1,224,2230,43.8016666666667,43.795,-86.4383333333333,-86.4383333333333,"MDNR Fall bottom trawl"
216,11532,2019,2,17,4.6,"9/16/2019",1,224,2250,43.7933333333333,43.7866666666667,-86.445,-86.445,"MDNR Fall bottom trawl"
216,11525,2019,2,17,4.6,"9/16/2019",1,224,2015,43.7933333333333,43.7866666666667,-86.4416666666667,-86.4416666666667,"MDNR Fall bottom trawl"
222,11535,2019,2,17,1.5,"9/17/2019",1,224,1910,43.0383333333333,43.0316666666667,-86.2383333333333,-86.2383333333333,"MDNR Fall bottom trawl"
222,11536,2019,2,17,3,"9/17/2019",1,224,1927,43.0316666666667,43.0383333333333,-86.2433333333333,-86.2433333333333,"MDNR Fall bottom trawl"
222,11537,2019,2,17,4.6,"9/17/2019",1,224,1943,43.0366666666667,43.0316666666667,-86.2416666666667,-86.2416666666667,"MDNR Fall bottom trawl"
216,1073,2019,2,17,9.1,"9/12/2019",1,209,825,43.82,43.8133333333333,-86.4416666666667,-86.4416666666667,"LWAP - Fall Acoustics Survey"
216,1074,2019,2,17,12.2,"9/12/2019",1,209,850,43.8216666666667,43.815,-86.4516666666667,-86.4516666666667,"LWAP - Fall Acoustics Survey"
216,1075,2019,2,17,18.3,"9/12/2019",1,209,915,43.82,43.8133333333333,-86.4683333333333,-86.4683333333333,"LWAP - Fall Acoustics Survey"
216,1076,2019,2,17,24.4,"9/12/2019",1,209,940,43.8166666666667,43.8116666666667,-86.4816666666667,-86.4816666666667,"LWAP - Fall Acoustics Survey"
216,1077,2019,2,17,30.5,"9/12/2017",1,209,1008,43.8133333333333,43.8083333333333,-86.5033333333333,-86.5033333333333,"LWAP - Fall Acoustics Survey"
216,1078,2019,2,17,30.5,"9/12/2019",1,209,1045,43.7683333333333,43.7633333333333,-86.5116666666667,-86.5116666666667,"LWAP - Fall Acoustics Survey"
216,1079,2019,2,17,24.4,"9/12/2017",1,209,1114,43.7616666666667,43.755,-86.5016666666667,-86.5016666666667,"LWAP - Fall Acoustics Survey"
216,1080,2019,2,17,18.3,"9/12/2019",1,209,1145,43.7583333333333,43.7616666666667,-86.4916666666667,-86.4916666666667,"LWAP - Fall Acoustics Survey"
216,1081,2019,2,17,12.2,"9/12/2019",1,209,1213,43.7533333333333,43.7483333333333,-86.48,-86.48,"LWAP - Fall Acoustics Survey"
216,1082,2019,2,17,9.1,"9/12/2019",1,209,1238,43.75,43.745,-86.4766666666667,-86.4766666666667,"LWAP - Fall Acoustics Survey"
