"Serial","Year","Lake","Vessel","Set_Time","Fishing_Depth","Tow_Time","Mesh","Type_Set","Tr_Design","Tr_Design_Name"
11523,2019,2,17,1935,2.3,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11524,2019,2,17,1954,3.5,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11527,2019,2,17,2043,2.3,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11528,2019,2,17,2100,3.5,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11529,2019,2,17,2119,5.2,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11530,2019,2,17,2212,1.8,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11531,2019,2,17,2230,4.1,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11532,2019,2,17,2250,5,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11525,2019,2,17,2015,5.3,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11535,2019,2,17,1910,1.7,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11536,2019,2,17,1927,4,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11537,2019,2,17,1943,5.3,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
1073,2019,2,17,825,9.5,10,2,5,21,"47' Midwater"
1074,2019,2,17,850,12.7,10,2,5,21,"47' Midwater"
1075,2019,2,17,915,18.6,10,2,5,21,"47' Midwater"
1076,2019,2,17,940,25.5,10,2,5,21,"47' Midwater"
1077,2019,2,17,1008,30.9,10,2,5,21,"47' Midwater"
1078,2019,2,17,1045,31.6,10,2,5,21,"47' Midwater"
1079,2019,2,17,1114,25.5,10,2,5,21,"47' Midwater"
1080,2019,2,17,1145,19.2,10,2,5,21,"47' Midwater"
1081,2019,2,17,1213,13.6,10,2,5,21,"47' Midwater"
1082,2019,2,17,1238,11.3,10,2,5,21,"47' Midwater"
1083,2019,2,17,821,9.6,10,2,5,21,"47' Midwater"
1084,2019,2,17,846,12.7,10,2,5,21,"47' Midwater"
1085,2019,2,17,914,18.9,10,2,5,21,"47' Midwater"
1086,2019,2,17,943,24.7,10,2,5,21,"47' Midwater"
1087,2019,2,17,1014,32,10,2,5,21,"47' Midwater"
1088,2019,2,17,1118,31.9,10,2,5,21,"47' Midwater"
1089,2019,2,17,1146,24.5,10,2,5,21,"47' Midwater"
1090,2019,2,17,1218,18.6,10,2,5,21,"47' Midwater"
11538,2019,2,17,2004,1.4,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11539,2019,2,17,2023,3.8,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11540,2019,2,17,2040,5.5,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11541,2019,2,17,2058,1.7,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11542,2019,2,17,2142,5.2,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11543,2019,2,17,2201,3.4,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
11544,2019,2,17,2219,1.8,10,2,2,100,"MDNR 40 ft Otter trawl 1/4 codend"
1072,2019,2,17,2131,13.7,20,2,5,21,"47' Midwater"
1068,2019,2,17,2141,17,41,2,5,21,"47' Midwater"
1063,2019,2,17,2204,9.6,20,2,5,21,"47' Midwater"
1066,2019,2,17,2350,16.4,20,2,5,21,"47' Midwater"
1070,2019,2,17,2121,31.6,20,2,5,21,"47' Midwater"
1056,2019,2,17,33,67.8,12,2,5,21,"47' Midwater"
1057,2019,2,17,150,12,19,2,5,21,"47' Midwater"
1053,2019,2,17,2303,10.6,22,2,5,21,"47' Midwater"
1061,2019,2,17,134,5.7,20,2,5,21,"47' Midwater"
1059,2019,2,17,2253,65.8,17,2,5,21,"47' Midwater"
1052,2019,2,17,2200,14.2,24,2,5,21,"47' Midwater"
1091,2019,2,17,1249,12.5,12,2,5,21,"47' Midwater"
1092,2019,2,17,1314,9.3,10,2,5,21,"47' Midwater"
1093,2019,2,17,855,10.2,10,2,5,21,"47' Midwater"
1094,2019,2,17,917,13,10,2,5,21,"47' Midwater"
1095,2019,2,17,946,18.6,13,2,5,21,"47' Midwater"
1096,2019,2,17,1017,24.7,10,2,5,21,"47' Midwater"
1097,2019,2,17,1046,32.3,10,2,5,21,"47' Midwater"
1098,2019,2,17,1146,9.1,10,2,5,21,"47' Midwater"
1099,2019,2,17,1213,13.1,10,2,5,21,"47' Midwater"
1100,2019,2,17,1244,18.6,10,2,5,21,"47' Midwater"
1101,2019,2,17,1314,24.4,10,2,5,21,"47' Midwater"
1102,2019,2,17,1343,31.1,10,2,5,21,"47' Midwater"
